ligand name,T [°C],t [h],solvent1,V/V solvent1 [ ],solvent2,V/V solvent2 [ ],solvent3,V/V solvent3 [ ],inorganic salt,metal,additional,reported,outcome,score,,CCDC,Isostructural,Enantiomeric,Source,,Category
"benzene-1,3,5-tricarboxylic acid",80,16,DMF,0.33,ethanol,0.32,water,0.35,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,successful,1.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.83,ethanol,0.17,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,successful,1.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.5,ethanol,0.5,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,successful,1.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.33,ethanol,0.32,water,0.35,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,poor BET,0.90,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.5,ethanol,0.475,water,0.03,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,poor BET,0.90,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,Cyrene,0.91,ethanol,0.09,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,poor BET,0.80,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,DMSO,0.5,ethanol,0.5,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,failed,0.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,ethanol,1,NA,NA,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,successful,1.00,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,water,1,NA,NA,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,poor yield,0.90,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",80,16,water,0.5,ethanol,0.5,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1021/acssuschemeng.6b02115,poor yield,0.90,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",80,12,Cyrene,0.84,water,0.08,DMF,0.08,ZrOCl2·8H2O,Zr,acetic acid,10.1021/acssuschemeng.6b02115,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
2-methylimidazole,110,10,Cyrene,1,NA,NA,NA,NA,Zn(NO3)2·6H2O,Zn,triethylamine,10.1016/j.ccr.2020.213407,successful,1.00,,VELVOY,identical,identical,matched,,review
"2,5-dihydroxyterephthalic acid",100,16,Cyrene,0.5,ethanol,0.5,NA,NA,Co(NO3)2·6H2O,Co,NA,10.1016/j.ccr.2020.213407,successful,1.00,,NAVJAW,identical,identical,matched,,review
